file,label,umap_x,umap_y,tsne_x,tsne_y
oracle_selected_glyphs\祀\6.png,祀,2.9320838,11.749596,2.833684803396063,1.0433398326804142
oracle_selected_glyphs\祖\1.png,祖,1.5818483,10.997004,-2.422889823765869,3.0049583599335365
oracle_selected_glyphs\祖\2.png,祖,0.7199554,12.994501,1.651086294043293,-3.439875527899798
oracle_selected_glyphs\祖\3.png,祖,0.98684394,12.675067,2.7039984211686114,-3.248532093662632
oracle_selected_glyphs\祖\4.png,祖,0.82514864,12.94402,1.8273921403275963,-4.055336663573475
oracle_selected_glyphs\祝\1.png,祝,2.7932036,12.709142,4.278532251108404,-0.10394525431359623
oracle_selected_glyphs\祝\2.png,祝,1.0953358,13.145642,2.6809151659059087,-3.130931823613384
oracle_selected_glyphs\祝\3.png,祝,2.0005648,12.5771885,3.3114254066970052,-1.9780051233969116
oracle_selected_glyphs\祝\4.png,祝,2.1275928,12.945115,4.063353304048444,-1.655315142167449
oracle_selected_glyphs\祝\5.png,祝,0.40914366,12.528477,0.800229757652259,-3.045635450008645
oracle_selected_glyphs\祭\1.png,祭,1.7354289,12.845822,4.1644250051523874,-1.2291401594771525
oracle_selected_glyphs\祭\2.png,祭,2.7865067,9.554849,-0.7641705085686945,1.456456305244501
oracle_selected_glyphs\祭\3.png,祭,2.5498643,9.224382,-0.8445162971307763,0.8617737030003811
oracle_selected_glyphs\祭\4.png,祭,2.4168649,12.813956,4.737833842155193,-1.0650500535225422
oracle_selected_glyphs\祭\5.png,祭,2.255695,13.261276,2.8477896408767127,-1.4305889476064129
oracle_selected_glyphs\祭\6.png,祭,2.1521888,12.660033,3.436383542850775,-1.0419106202073283
oracle_selected_glyphs\鬼\1.png,鬼,0.00032990263,10.167298,-1.0464122260926454,-1.7104868784232756
oracle_selected_glyphs\鬼\2.png,鬼,0.9178073,9.5063715,-1.0877866328846764,0.18713340769399608
oracle_selected_glyphs\鬼\3.png,鬼,0.03940518,10.454552,-0.22823437096981478,-1.3810760420950376
oracle_selected_glyphs\鬼\4.png,鬼,1.806988,13.251335,2.2627410314976775,-1.590320284050497
oracle_selected_glyphs\鬼\5.png,鬼,0.26510343,9.7775545,-1.3418212666381688,-1.3172268520684836
oracle_selected_glyphs\鬼\6.png,鬼,-0.27333307,10.264725,-0.6301771636461235,-2.104163362978837
