file,label,gardiner_code,index,script,umap_x,umap_y
oracle_selected_glyphs\日\1.png,日,NA,1,oracle,8.772234,-2.1716247
oracle_selected_glyphs\日\2.png,日,NA,2,oracle,9.783147,-2.0944102
oracle_selected_glyphs\日\3.png,日,NA,3,oracle,13.306105,1.5947913
oracle_selected_glyphs\日\4.png,日,NA,4,oracle,9.39989,-2.1978083
oracle_selected_glyphs\星\1.png,星,NA,1,oracle,13.627074,2.0256205
oracle_selected_glyphs\星\2.png,星,NA,2,oracle,8.700592,-2.2861512
oracle_selected_glyphs\星\3.png,星,NA,3,oracle,13.591051,2.059358
oracle_selected_glyphs\星\4.png,星,NA,4,oracle,11.644727,0.30149487
oracle_selected_glyphs\星\5.png,星,NA,5,oracle,11.942323,0.10822598
oracle_selected_glyphs\星\6.png,星,NA,6,oracle,11.945021,0.48894176
oracle_selected_glyphs\月\1.png,月,NA,1,oracle,13.204039,0.2623194
oracle_selected_glyphs\月\2.png,月,NA,2,oracle,13.559711,0.9461041
oracle_selected_glyphs\月\3.png,月,NA,3,oracle,12.71319,-0.015457421
oracle_selected_glyphs\月\4.png,月,NA,4,oracle,13.390858,0.5029802
oracle_selected_glyphs\月\5.png,月,NA,5,oracle,12.733395,0.0100813145
oracle_selected_glyphs\月\6.png,月,NA,6,oracle,13.524088,0.7298688
oracle_selected_glyphs\示\1.png,示,NA,1,oracle,13.820436,0.85008425
oracle_selected_glyphs\祀\1.png,祀,NA,1,oracle,14.453385,2.0009065
oracle_selected_glyphs\祀\2.png,祀,NA,2,oracle,14.257478,1.7194684
oracle_selected_glyphs\祀\3.png,祀,NA,3,oracle,13.950488,1.2594218
oracle_selected_glyphs\祀\4.png,祀,NA,4,oracle,14.135516,1.4107246
oracle_selected_glyphs\祀\5.png,祀,NA,5,oracle,13.847061,1.6601461
oracle_selected_glyphs\祀\6.png,祀,NA,6,oracle,14.22202,1.7557847
oracle_selected_glyphs\祖\1.png,祖,NA,1,oracle,11.890562,-0.3064698
oracle_selected_glyphs\祖\2.png,祖,NA,2,oracle,12.120874,0.7408152
oracle_selected_glyphs\祖\3.png,祖,NA,3,oracle,14.109208,2.3045852
oracle_selected_glyphs\祖\4.png,祖,NA,4,oracle,12.508328,1.5562879
oracle_selected_glyphs\祝\1.png,祝,NA,1,oracle,14.4178705,1.9854864
oracle_selected_glyphs\祝\2.png,祝,NA,2,oracle,14.186866,2.4669454
oracle_selected_glyphs\祝\3.png,祝,NA,3,oracle,13.939501,1.3614051
oracle_selected_glyphs\祝\4.png,祝,NA,4,oracle,14.376179,2.096568
oracle_selected_glyphs\祝\5.png,祝,NA,5,oracle,11.625422,0.93650436
oracle_selected_glyphs\祭\1.png,祭,NA,1,oracle,14.338956,2.0674016
oracle_selected_glyphs\祭\2.png,祭,NA,2,oracle,11.809806,-0.61180776
oracle_selected_glyphs\祭\3.png,祭,NA,3,oracle,9.799674,-0.46166453
oracle_selected_glyphs\祭\4.png,祭,NA,4,oracle,14.291928,2.0220795
oracle_selected_glyphs\祭\5.png,祭,NA,5,oracle,14.152298,2.422552
oracle_selected_glyphs\祭\6.png,祭,NA,6,oracle,14.247158,1.7807624
oracle_selected_glyphs\鬼\1.png,鬼,NA,1,oracle,12.600024,1.255809
oracle_selected_glyphs\鬼\2.png,鬼,NA,2,oracle,11.69388,0.9703662
oracle_selected_glyphs\鬼\3.png,鬼,NA,3,oracle,12.5417795,1.3729733
oracle_selected_glyphs\鬼\4.png,鬼,NA,4,oracle,13.486777,1.7095561
oracle_selected_glyphs\鬼\5.png,鬼,NA,5,oracle,11.715114,1.1536732
oracle_selected_glyphs\鬼\6.png,鬼,NA,6,oracle,12.747674,1.443095
egypt_by_oracle\人\A1\人_A1_01.png,人,A1,1,egypt,10.009292,2.4321146
egypt_by_oracle\人\A1\人_A1_02.png,人,A1,2,egypt,9.959392,2.668423
egypt_by_oracle\卜\A2\卜_A2_01.png,卜,A2,1,egypt,9.873779,2.819241
egypt_by_oracle\卜\A7\卜_A7_01.png,卜,A7,1,egypt,9.747991,2.5974977
egypt_by_oracle\占\占_NA_01.png,占,NA,1,egypt,11.645358,-0.9631196
egypt_by_oracle\占\占_NA_02.png,占,NA,2,egypt,11.767259,-0.9125761
egypt_by_oracle\占\D21\占_D21_000.png,占,D21,0,egypt,7.7152033,-1.6543871
egypt_by_oracle\占\D21\占_D21_0000.png,占,D21,0,egypt,7.6812754,-1.634617
egypt_by_oracle\占\D21\占_D21_0002.png,占,D21,2,egypt,7.689207,-1.4835151
egypt_by_oracle\占\D21\占_D21_0003.png,占,D21,3,egypt,7.9688044,-1.6659089
egypt_by_oracle\占\D21\占_D21_0004.png,占,D21,4,egypt,7.614319,-1.5839478
egypt_by_oracle\占\D21\占_D21_001.png,占,D21,1,egypt,7.5304766,-1.5015945
egypt_by_oracle\占\D21\占_D21_002.png,占,D21,2,egypt,7.589095,-1.4358923
egypt_by_oracle\占\D21\占_D21_003.png,占,D21,3,egypt,7.686532,-1.3210262
egypt_by_oracle\占\Q3\占_Q3_000.png,占,Q3,0,egypt,11.100847,-2.0171676
egypt_by_oracle\占\Q3\占_Q3_0008.png,占,Q3,8,egypt,11.048873,-2.0862463
egypt_by_oracle\占\Q3\占_Q3_001.png,占,Q3,1,egypt,10.72269,-2.0527518
egypt_by_oracle\占\Q3\占_Q3_0017.png,占,Q3,17,egypt,11.096714,-4.986934
egypt_by_oracle\占\Q3\占_Q3_002.png,占,Q3,2,egypt,11.371239,-2.0161903
egypt_by_oracle\占\Q3\占_Q3_003.png,占,Q3,3,egypt,11.700858,-1.5027978
egypt_by_oracle\占\Q3\占_Q3_004.png,占,Q3,4,egypt,10.278091,-2.082106
egypt_by_oracle\占\R4\占_R4_000.png,占,R4,0,egypt,8.379583,-0.1859172
egypt_by_oracle\占\R4\占_R4_001.png,占,R4,1,egypt,11.318264,-5.1718345
egypt_by_oracle\占\R4\占_R4_002.png,占,R4,2,egypt,11.376485,-5.2581873
egypt_by_oracle\占\R4\占_R4_0087.png,占,R4,87,egypt,11.346943,-5.271558
egypt_by_oracle\占\R4\占_R4_0150.png,占,R4,150,egypt,8.476256,-0.27714843
egypt_by_oracle\占\R4\占_R4_0158.png,占,R4,158,egypt,11.297994,-5.151171
egypt_by_oracle\占\R8\占_R8_000.png,占,R8,0,egypt,12.119283,-1.0206938
egypt_by_oracle\占\R8\占_R8_001.png,占,R8,1,egypt,11.74975,0.5176933
egypt_by_oracle\占\R8\占_R8_0014.png,占,R8,14,egypt,12.5197735,-0.7512048
egypt_by_oracle\占\R8\占_R8_0015.png,占,R8,15,egypt,12.494673,-0.8601731
egypt_by_oracle\占\R8\占_R8_0016.png,占,R8,16,egypt,12.3272915,-0.686712
egypt_by_oracle\占\R8\占_R8_002.png,占,R8,2,egypt,12.248676,-1.1737509
egypt_by_oracle\占\R8\占_R8_003.png,占,R8,3,egypt,12.327735,-0.81318617
egypt_by_oracle\占\R8\占_R8_004.png,占,R8,4,egypt,12.434164,-0.74207383
egypt_by_oracle\占\W22\占_W22_000.png,占,W22,0,egypt,10.195274,-2.161703
egypt_by_oracle\占\W22\占_W22_001.png,占,W22,1,egypt,8.370902,-2.5439029
egypt_by_oracle\占\W22\占_W22_0146.png,占,W22,146,egypt,8.341911,-2.494062
egypt_by_oracle\占\W22\占_W22_0147.png,占,W22,147,egypt,10.251076,-2.1351879
egypt_by_oracle\占\X1\占_X1_000.png,占,X1,0,egypt,8.521605,-1.1380689
egypt_by_oracle\占\X1\占_X1_0001.png,占,X1,1,egypt,7.8951364,-1.2890253
egypt_by_oracle\占\X1\占_X1_0005.png,占,X1,5,egypt,7.9733973,-1.1942376
egypt_by_oracle\占\X1\占_X1_0006.png,占,X1,6,egypt,7.7695274,-1.1862042
egypt_by_oracle\占\X1\占_X1_001.png,占,X1,1,egypt,11.362562,-4.772014
egypt_by_oracle\占\X1\占_X1_002.png,占,X1,2,egypt,8.129393,-1.2770225
egypt_by_oracle\占\X1\占_X1_003.png,占,X1,3,egypt,8.047696,-1.6372842
egypt_by_oracle\占\X1\占_X1_004.png,占,X1,4,egypt,8.244955,-1.4105283
egypt_by_oracle\史\Y3\史_Y3_000.png,史,Y3,0,egypt,11.996742,-1.3302468
egypt_by_oracle\史\Y3\史_Y3_001.png,史,Y3,1,egypt,11.89723,-1.7494164
egypt_by_oracle\史\Y3\史_Y3_002.png,史,Y3,2,egypt,11.409703,-1.9521085
egypt_by_oracle\史\Y3\史_Y3_0126.png,史,Y3,126,egypt,11.88664,-1.3260083
egypt_by_oracle\史\Y3\史_Y3_0148.png,史,Y3,148,egypt,11.882756,-1.8176701
egypt_by_oracle\史\Y3\史_Y3_0149.png,史,Y3,149,egypt,11.503792,-1.8635772
egypt_by_oracle\史\Y3A1\史_Y3A1_01.png,史,Y3A1,1,egypt,10.270266,2.2370439
egypt_by_oracle\巫\A50\巫_A50_01.png,巫,A50,1,egypt,9.742974,2.6625502
egypt_by_oracle\帝\帝_NA_01.png,帝,NA,1,egypt,10.317888,2.102811
egypt_by_oracle\帝\帝_NA_02.png,帝,NA,2,egypt,10.04739,2.6224296
egypt_by_oracle\帝\R8A40\帝_R8A40_01.png,帝,R8A40,1,egypt,9.981002,2.8732653
egypt_by_oracle\帝\R8A40\帝_R8A40_02.png,帝,R8A40,2,egypt,10.043793,2.94363
egypt_by_oracle\帝\S36\帝_S36_01.png,帝,S36,1,egypt,12.1809635,-0.77123064
egypt_by_oracle\日\日_NA_01.png,日,NA,1,egypt,9.086952,-2.4005947
egypt_by_oracle\日\N5\日_N5_000.png,日,N5,0,egypt,8.555465,-2.7035887
egypt_by_oracle\日\N5\日_N5_001.png,日,N5,1,egypt,8.961473,-2.5129046
egypt_by_oracle\日\N5\日_N5_002.png,日,N5,2,egypt,8.6576395,-2.356254
egypt_by_oracle\日\N5\日_N5_003.png,日,N5,3,egypt,8.678234,-2.6064568
egypt_by_oracle\日\N5\日_N5_004.png,日,N5,4,egypt,8.760786,-2.4352121
egypt_by_oracle\日\N5\日_N5_0045.png,日,N5,45,egypt,8.405733,-2.4816568
egypt_by_oracle\日\N5\日_N5_0049.png,日,N5,49,egypt,9.061,-2.2323577
egypt_by_oracle\日\N5\日_N5_0056.png,日,N5,56,egypt,9.226241,-2.3383968
egypt_by_oracle\星\N14\星_N14_000.png,星,N14,0,egypt,10.964972,-0.6509529
egypt_by_oracle\星\N14\星_N14_001.png,星,N14,1,egypt,10.509294,-0.49610096
egypt_by_oracle\星\N14\星_N14_002.png,星,N14,2,egypt,11.287239,0.05211454
egypt_by_oracle\星\N14\星_N14_003.png,星,N14,3,egypt,10.201854,-0.35925645
egypt_by_oracle\星\N14\星_N14_004.png,星,N14,4,egypt,8.698725,-2.7626734
egypt_by_oracle\星\N14\星_N14_0086.png,星,N14,86,egypt,8.726654,-2.7795289
egypt_by_oracle\星\N14\星_N14_0111.png,星,N14,111,egypt,11.062365,-1.4109832
egypt_by_oracle\星\N14\星_N14_0114.png,星,N14,114,egypt,10.991312,-0.57717085
egypt_by_oracle\星\N14\星_N14_0115.png,星,N14,115,egypt,10.567381,-0.5244437
egypt_by_oracle\星\N14\星_N14_0122.png,星,N14,122,egypt,11.239216,0.15136115
egypt_by_oracle\星\N14\星_N14_0132.png,星,N14,132,egypt,11.19633,-0.071511544
egypt_by_oracle\星\N14\星_N14_0133.png,星,N14,133,egypt,11.222106,-0.16057356
egypt_by_oracle\月\N9\月_N9_01.png,月,N9,1,egypt,10.679194,-1.6710594
egypt_by_oracle\示\R4\示_R4_000.png,示,R4,0,egypt,8.481138,-0.27885664
egypt_by_oracle\示\R4\示_R4_001.png,示,R4,1,egypt,11.238993,-5.0927515
egypt_by_oracle\示\R4\示_R4_002.png,示,R4,2,egypt,11.407784,-5.3275895
egypt_by_oracle\示\R4\示_R4_0088.png,示,R4,88,egypt,11.486488,-5.3930497
egypt_by_oracle\示\R4\示_R4_0151.png,示,R4,151,egypt,8.380303,-0.1827614
egypt_by_oracle\示\R4\示_R4_0159.png,示,R4,159,egypt,11.401141,-5.292244
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_01.png,祀,N14+D46 V4 A30,1,egypt,10.201875,2.296936
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_02.png,祀,N14+D46 V4 A30,2,egypt,9.32993,-0.19910309
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_03.png,祀,N14+D46 V4 A30,3,egypt,9.248957,2.745465
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_04.png,祀,N14+D46 V4 A30,4,egypt,11.349031,-0.5690018
egypt_by_oracle\祖\D28\祖_D28_000.png,祖,D28,0,egypt,10.419348,-0.5161655
egypt_by_oracle\祖\D28\祖_D28_001.png,祖,D28,1,egypt,10.132852,-1.4416393
egypt_by_oracle\祖\D28\祖_D28_002.png,祖,D28,2,egypt,10.272936,-1.5933672
egypt_by_oracle\祖\D28\祖_D28_003.png,祖,D28,3,egypt,11.134743,-2.3436828
egypt_by_oracle\祖\D28\祖_D28_004.png,祖,D28,4,egypt,9.225095,-0.39098537
egypt_by_oracle\祖\D28\祖_D28_0067.png,祖,D28,67,egypt,9.169856,-0.3692481
egypt_by_oracle\祖\D28\祖_D28_0074.png,祖,D28,74,egypt,9.23304,-0.32866192
egypt_by_oracle\祖\D28\祖_D28_0080.png,祖,D28,80,egypt,8.849705,-0.36632186
egypt_by_oracle\祖\D28\祖_D28_0083.png,祖,D28,83,egypt,9.827373,-1.3162954
egypt_by_oracle\祖\D28\祖_D28_0096.png,祖,D28,96,egypt,11.327864,-4.589206
egypt_by_oracle\祖\D28\祖_D28_0098.png,祖,D28,98,egypt,11.084018,-4.85984
egypt_by_oracle\祖\D28\祖_D28_0100.png,祖,D28,100,egypt,10.289689,-1.0409713
egypt_by_oracle\祝\D31\祝_D31_01.png,祝,D31,1,egypt,11.125697,-1.7724973
egypt_by_oracle\祝\T8\祝_T8_01.png,祝,T8,1,egypt,12.368601,-0.9324108
egypt_by_oracle\祭\祭_NA_01.png,祭,NA,1,egypt,11.721902,-0.81962496
egypt_by_oracle\祭\D44\祭_D44_01.png,祭,D44,1,egypt,11.361221,-4.764749
egypt_by_oracle\鬼\D28\鬼_D28_000.png,鬼,D28,0,egypt,10.391122,-0.5108487
egypt_by_oracle\鬼\D28\鬼_D28_001.png,鬼,D28,1,egypt,10.17179,-1.3941633
egypt_by_oracle\鬼\D28\鬼_D28_002.png,鬼,D28,2,egypt,10.241915,-1.6474446
egypt_by_oracle\鬼\D28\鬼_D28_003.png,鬼,D28,3,egypt,11.11815,-2.4351487
egypt_by_oracle\鬼\D28\鬼_D28_004.png,鬼,D28,4,egypt,9.242808,-0.3414899
egypt_by_oracle\鬼\D28\鬼_D28_0068.png,鬼,D28,68,egypt,9.244142,-0.48989382
egypt_by_oracle\鬼\D28\鬼_D28_0075.png,鬼,D28,75,egypt,9.285707,-0.29520708
egypt_by_oracle\鬼\G1\鬼_G1_000.png,鬼,G1,0,egypt,8.557267,2.285395
egypt_by_oracle\鬼\G1\鬼_G1_001.png,鬼,G1,1,egypt,8.409482,2.1716952
egypt_by_oracle\鬼\G1\鬼_G1_0013.png,鬼,G1,13,egypt,8.895901,1.8859152
egypt_by_oracle\鬼\G1\鬼_G1_002.png,鬼,G1,2,egypt,9.528241,1.7744298
egypt_by_oracle\鬼\G1\鬼_G1_0021.png,鬼,G1,21,egypt,8.803225,2.1266694
egypt_by_oracle\鬼\G1\鬼_G1_0022.png,鬼,G1,22,egypt,8.442113,2.032665
egypt_by_oracle\鬼\G1\鬼_G1_003.png,鬼,G1,3,egypt,8.652684,1.9252707
egypt_by_oracle\鬼\G1\鬼_G1_004.png,鬼,G1,4,egypt,8.533534,2.1180391
egypt_by_oracle\鬼\G25\鬼_G25_000.png,鬼,G25,0,egypt,8.503253,2.3906753
egypt_by_oracle\鬼\G25\鬼_G25_001.png,鬼,G25,1,egypt,9.014536,2.651065
egypt_by_oracle\鬼\G25\鬼_G25_002.png,鬼,G25,2,egypt,9.37729,2.1339252
egypt_by_oracle\鬼\G25\鬼_G25_003.png,鬼,G25,3,egypt,8.640384,2.7717135
egypt_by_oracle\鬼\G25\鬼_G25_004.png,鬼,G25,4,egypt,8.514895,1.9102675
egypt_by_oracle\鬼\G25\鬼_G25_01.png,鬼,G25,1,egypt,9.1870165,2.8963616
egypt_by_oracle\鬼\G25\鬼_G25_02.png,鬼,G25,2,egypt,9.21571,2.8125207
egypt_by_oracle\鬼\G25\鬼_G25_03.png,鬼,G25,3,egypt,10.144192,2.293017
egypt_by_oracle\鬼\G29\鬼_G29_000.png,鬼,G29,0,egypt,8.533755,2.7037919
egypt_by_oracle\鬼\G29\鬼_G29_001.png,鬼,G29,1,egypt,9.343072,2.187156
egypt_by_oracle\鬼\G29\鬼_G29_002.png,鬼,G29,2,egypt,8.663178,2.8903296
egypt_by_oracle\鬼\G29\鬼_G29_0071.png,鬼,G29,71,egypt,8.53702,2.668729
egypt_by_oracle\鬼\G29\鬼_G29_0079.png,鬼,G29,79,egypt,9.343646,2.2033777
egypt_by_oracle\鬼\G29\鬼_G29_01.png,鬼,G29,1,egypt,9.051496,2.9713068
egypt_by_oracle\鬼\G29\鬼_G29_0131.png,鬼,G29,131,egypt,8.72672,2.9399529
