file,label,gardiner_code,index,script,umap_x,umap_y,tsne_x,tsne_y
oracle_selected_glyphs\帝\5.png,帝,NA,5,oracle,13.209948,1.9028742,10.644397370319613,-1.1525280678831555
oracle_selected_glyphs\日\1.png,日,NA,1,oracle,8.772234,-2.1716247,-2.416247461424839,7.339324367962496
oracle_selected_glyphs\日\2.png,日,NA,2,oracle,9.783147,-2.0944102,0.8255244975391502,7.102452274818848
oracle_selected_glyphs\日\3.png,日,NA,3,oracle,13.306105,1.5947913,9.91901009967105,-3.120151984098101
oracle_selected_glyphs\日\4.png,日,NA,4,oracle,9.39989,-2.1978083,0.6792653355313788,7.118816332022404
oracle_selected_glyphs\星\1.png,星,NA,1,oracle,13.627074,2.0256205,11.416846039027288,-2.078792580620478
oracle_selected_glyphs\星\2.png,星,NA,2,oracle,8.700592,-2.2861512,-3.3926319778703897,8.056210831146863
oracle_selected_glyphs\星\3.png,星,NA,3,oracle,13.591051,2.059358,11.268412394161494,-2.1764024104326594
oracle_selected_glyphs\星\4.png,星,NA,4,oracle,11.644727,0.30149487,6.104195364474389,-0.6437432525202784
oracle_selected_glyphs\星\5.png,星,NA,5,oracle,11.942323,0.10822598,6.4335690507547465,-3.427727981323699
oracle_selected_glyphs\星\6.png,星,NA,6,oracle,11.945021,0.48894176,8.65312709338192,-1.0801181251348486
oracle_selected_glyphs\月\1.png,月,NA,1,oracle,13.204039,0.2623194,10.343486038267768,-6.067912384616205
oracle_selected_glyphs\月\2.png,月,NA,2,oracle,13.559711,0.9461041,11.28438991385885,-5.007943122025034
oracle_selected_glyphs\月\3.png,月,NA,3,oracle,12.71319,-0.015457421,3.8381447000239706,-3.8893093039376425
oracle_selected_glyphs\月\4.png,月,NA,4,oracle,13.390858,0.5029802,10.727722717723907,-5.726455747311772
oracle_selected_glyphs\月\5.png,月,NA,5,oracle,12.733395,0.0100813145,4.127446594338336,-4.274455854841339
oracle_selected_glyphs\月\6.png,月,NA,6,oracle,13.524088,0.7298688,11.288040023519343,-5.276820233831888
oracle_selected_glyphs\示\1.png,示,NA,1,oracle,13.820436,0.85008425,14.353057760392618,-4.655441247663642
oracle_selected_glyphs\祀\1.png,祀,NA,1,oracle,14.453385,2.0009065,15.26703522295975,-0.8995205493714435
oracle_selected_glyphs\祀\2.png,祀,NA,2,oracle,14.257478,1.7194684,14.903842265918083,-1.9307969307036383
oracle_selected_glyphs\祀\3.png,祀,NA,3,oracle,13.950488,1.2594218,14.910899341519357,-3.4654712072934566
oracle_selected_glyphs\祀\4.png,祀,NA,4,oracle,14.135516,1.4107246,14.437111032423413,-3.0614109398661835
oracle_selected_glyphs\祀\5.png,祀,NA,5,oracle,13.847061,1.6601461,13.54246401603453,-1.5631631526906322
oracle_selected_glyphs\祀\6.png,祀,NA,6,oracle,14.22202,1.7557847,14.410152983928635,-1.4550951918268606
oracle_selected_glyphs\祖\1.png,祖,NA,1,oracle,11.890562,-0.3064698,7.162821412734537,-0.48930817486007705
oracle_selected_glyphs\祖\2.png,祖,NA,2,oracle,12.120874,0.7408152,7.755281454319163,0.04022300433964125
oracle_selected_glyphs\祖\3.png,祖,NA,3,oracle,14.109208,2.3045852,14.284687146930551,0.7088931254263617
oracle_selected_glyphs\祖\4.png,祖,NA,4,oracle,12.508328,1.5562879,9.028008381119156,0.8195768925449357
oracle_selected_glyphs\祝\1.png,祝,NA,1,oracle,14.4178705,1.9854864,14.964486314171644,-0.4984938943580835
oracle_selected_glyphs\祝\2.png,祝,NA,2,oracle,14.186866,2.4669454,14.105706294438756,1.2204819498439017
oracle_selected_glyphs\祝\3.png,祝,NA,3,oracle,13.939501,1.3614051,13.532852012075914,-3.291251653190706
oracle_selected_glyphs\祝\4.png,祝,NA,4,oracle,14.376179,2.096568,14.812983307808913,-0.0208469999493102
oracle_selected_glyphs\祝\5.png,祝,NA,5,oracle,11.625422,0.93650436,5.542617263954451,0.893201640272878
oracle_selected_glyphs\祭\1.png,祭,NA,1,oracle,14.338956,2.0674016,15.429157565794277,0.05474410416392871
oracle_selected_glyphs\祭\2.png,祭,NA,2,oracle,11.809806,-0.61180776,0.7694382785318695,-1.7249702294897649
oracle_selected_glyphs\祭\3.png,祭,NA,3,oracle,9.799674,-0.46166453,-4.8866817559473175,-0.13955262812521002
oracle_selected_glyphs\祭\4.png,祭,NA,4,oracle,14.291928,2.0220795,16.0069887041151,-0.06564101443293661
oracle_selected_glyphs\祭\5.png,祭,NA,5,oracle,14.152298,2.422552,14.486404629633654,1.3263868820046907
oracle_selected_glyphs\祭\6.png,祭,NA,6,oracle,14.247158,1.7807624,14.145815881955423,-0.45815798986149453
oracle_selected_glyphs\鬼\1.png,鬼,NA,1,oracle,12.600024,1.255809,10.039491169517667,1.7588663827101318
oracle_selected_glyphs\鬼\2.png,鬼,NA,2,oracle,11.69388,0.9703662,5.113782556360634,0.32046759992406715
oracle_selected_glyphs\鬼\3.png,鬼,NA,3,oracle,12.5417795,1.3729733,10.11597623173504,2.4066361783173225
oracle_selected_glyphs\鬼\4.png,鬼,NA,4,oracle,13.486777,1.7095561,12.96570749148666,-0.7084058093580523
oracle_selected_glyphs\鬼\5.png,鬼,NA,5,oracle,11.715114,1.1536732,8.616610709002344,3.0040517247318252
oracle_selected_glyphs\鬼\6.png,鬼,NA,6,oracle,12.747674,1.443095,10.625161243808538,1.3255344094812793
egypt_by_oracle\人\A1\人_A1_01.png,人,A1,1,egypt,10.009292,2.4321146,-9.374856264323348,-8.215228585061928
egypt_by_oracle\人\A1\人_A1_02.png,人,A1,2,egypt,9.959392,2.668423,-9.882053295295396,-8.012701562118124
egypt_by_oracle\卜\A2\卜_A2_01.png,卜,A2,1,egypt,9.873779,2.819241,-10.172674790435352,-8.43035156070682
egypt_by_oracle\卜\A7\卜_A7_01.png,卜,A7,1,egypt,9.747991,2.5974977,-8.882225087056485,-7.62150460898825
egypt_by_oracle\占\占_NA_01.png,占,NA,1,egypt,11.645358,-0.9631196,0.26121278692477984,-4.990353806822954
egypt_by_oracle\占\占_NA_02.png,占,NA,2,egypt,11.767259,-0.9125761,0.30739830652003525,-5.0618068642501735
egypt_by_oracle\占\D21\占_D21_000.png,占,D21,0,egypt,7.7152033,-1.6543871,-6.475692906272286,4.8561623380031556
egypt_by_oracle\占\D21\占_D21_0000.png,占,D21,0,egypt,7.6812754,-1.634617,-6.849285916185607,5.591472822832454
egypt_by_oracle\占\D21\占_D21_0002.png,占,D21,2,egypt,7.689207,-1.4835151,-6.53498346103098,5.941744751198595
egypt_by_oracle\占\D21\占_D21_0003.png,占,D21,3,egypt,7.9688044,-1.6659089,-5.63106308954158,4.908424729858119
egypt_by_oracle\占\D21\占_D21_0004.png,占,D21,4,egypt,7.614319,-1.5839478,-6.803579573747133,5.122941107754312
egypt_by_oracle\占\D21\占_D21_001.png,占,D21,1,egypt,7.5304766,-1.5015945,-7.017984461872904,4.555339243747009
egypt_by_oracle\占\D21\占_D21_002.png,占,D21,2,egypt,7.589095,-1.4358923,-7.533503830398334,5.395007328209153
egypt_by_oracle\占\D21\占_D21_003.png,占,D21,3,egypt,7.686532,-1.3210262,-6.91513746876213,6.036932567219103
egypt_by_oracle\占\Q3\占_Q3_000.png,占,Q3,0,egypt,11.100847,-2.0171676,-2.3610396704996925,1.0216222329737505
egypt_by_oracle\占\Q3\占_Q3_0008.png,占,Q3,8,egypt,11.048873,-2.0862463,-2.6277433107220607,1.1294898610348716
egypt_by_oracle\占\Q3\占_Q3_001.png,占,Q3,1,egypt,10.72269,-2.0527518,-3.0030290666933204,1.432163298485973
egypt_by_oracle\占\Q3\占_Q3_0017.png,占,Q3,17,egypt,11.096714,-4.986934,-10.974134788754267,4.037224901385575
egypt_by_oracle\占\Q3\占_Q3_002.png,占,Q3,2,egypt,11.371239,-2.0161903,-0.5510306704138833,0.9149930266263873
egypt_by_oracle\占\Q3\占_Q3_003.png,占,Q3,3,egypt,11.700858,-1.5027978,-0.3539610170158568,0.07560707243495207
egypt_by_oracle\占\Q3\占_Q3_004.png,占,Q3,4,egypt,10.278091,-2.082106,-3.8353771671072017,1.8541175978897864
egypt_by_oracle\占\R4\占_R4_000.png,占,R4,0,egypt,8.379583,-0.1859172,-10.686802143300667,1.3763484970525235
egypt_by_oracle\占\R4\占_R4_001.png,占,R4,1,egypt,11.318264,-5.1718345,-12.301259718075253,4.677094813445069
egypt_by_oracle\占\R4\占_R4_002.png,占,R4,2,egypt,11.376485,-5.2581873,-12.641775079308076,3.192958262780464
egypt_by_oracle\占\R4\占_R4_0087.png,占,R4,87,egypt,11.346943,-5.271558,-12.636080310575482,3.1795097628853477
egypt_by_oracle\占\R4\占_R4_0150.png,占,R4,150,egypt,8.476256,-0.27714843,-10.724498302864053,1.3488748683866032
egypt_by_oracle\占\R4\占_R4_0158.png,占,R4,158,egypt,11.297994,-5.151171,-12.30179909175355,4.677760083035431
egypt_by_oracle\占\R8\占_R8_000.png,占,R8,0,egypt,12.119283,-1.0206938,1.5621523505942057,-1.2898132851807689
egypt_by_oracle\占\R8\占_R8_001.png,占,R8,1,egypt,11.74975,0.5176933,3.7371622369767987,0.3949872959066736
egypt_by_oracle\占\R8\占_R8_0014.png,占,R8,14,egypt,12.5197735,-0.7512048,2.2531017495144683,-1.3847752486731988
egypt_by_oracle\占\R8\占_R8_0015.png,占,R8,15,egypt,12.494673,-0.8601731,2.494790372374176,-0.893862475744031
egypt_by_oracle\占\R8\占_R8_0016.png,占,R8,16,egypt,12.3272915,-0.686712,2.793158745843847,-0.35604019304880513
egypt_by_oracle\占\R8\占_R8_002.png,占,R8,2,egypt,12.248676,-1.1737509,1.5121419434452965,-0.4054662238455422
egypt_by_oracle\占\R8\占_R8_003.png,占,R8,3,egypt,12.327735,-0.81318617,1.9154888510052226,-0.8048785314239921
egypt_by_oracle\占\R8\占_R8_004.png,占,R8,4,egypt,12.434164,-0.74207383,2.6827244468307536,-0.2812794106643553
egypt_by_oracle\占\W22\占_W22_000.png,占,W22,0,egypt,10.195274,-2.161703,-3.0170323299135067,5.040260082346195
egypt_by_oracle\占\W22\占_W22_001.png,占,W22,1,egypt,8.370902,-2.5439029,-3.9087545792984506,9.548813813678583
egypt_by_oracle\占\W22\占_W22_0146.png,占,W22,146,egypt,8.341911,-2.494062,-3.9087545792984506,9.548813813678583
egypt_by_oracle\占\W22\占_W22_0147.png,占,W22,147,egypt,10.251076,-2.1351879,-3.017032330334096,5.040260082309983
egypt_by_oracle\占\X1\占_X1_000.png,占,X1,0,egypt,8.521605,-1.1380689,-4.529985445813286,5.600318653414575
egypt_by_oracle\占\X1\占_X1_0001.png,占,X1,1,egypt,7.8951364,-1.2890253,-5.736106594767238,6.67752860597166
egypt_by_oracle\占\X1\占_X1_0005.png,占,X1,5,egypt,7.9733973,-1.1942376,-5.329647538933251,6.1210580115483175
egypt_by_oracle\占\X1\占_X1_0006.png,占,X1,6,egypt,7.7695274,-1.1862042,-6.219203477979157,6.79649897421485
egypt_by_oracle\占\X1\占_X1_001.png,占,X1,1,egypt,11.362562,-4.772014,-11.625141845091406,6.050822814001638
egypt_by_oracle\占\X1\占_X1_002.png,占,X1,2,egypt,8.129393,-1.2770225,-4.908551446950612,6.253005287655274
egypt_by_oracle\占\X1\占_X1_003.png,占,X1,3,egypt,8.047696,-1.6372842,-5.317403504212251,7.860147528274057
egypt_by_oracle\占\X1\占_X1_004.png,占,X1,4,egypt,8.244955,-1.4105283,-5.887573832109836,8.193286006583843
egypt_by_oracle\史\Y3\史_Y3_000.png,史,Y3,0,egypt,11.996742,-1.3302468,0.42052711542483584,-0.6625815868515466
egypt_by_oracle\史\Y3\史_Y3_001.png,史,Y3,1,egypt,11.89723,-1.7494164,-1.4696810942602712,-0.13868648105733591
egypt_by_oracle\史\Y3\史_Y3_002.png,史,Y3,2,egypt,11.409703,-1.9521085,-0.24230726338285136,2.1033268669692915
egypt_by_oracle\史\Y3\史_Y3_0126.png,史,Y3,126,egypt,11.88664,-1.3260083,0.42052684723667366,-0.6625806967462713
egypt_by_oracle\史\Y3\史_Y3_0148.png,史,Y3,148,egypt,11.882756,-1.8176701,-1.469599970717374,-0.13861644201354822
egypt_by_oracle\史\Y3\史_Y3_0149.png,史,Y3,149,egypt,11.503792,-1.8635772,-0.24240083120110636,2.1034401234857922
egypt_by_oracle\史\Y3A1\史_Y3A1_01.png,史,Y3A1,1,egypt,10.270266,2.2370439,-9.800112870929738,-10.15533286015796
egypt_by_oracle\巫\A50\巫_A50_01.png,巫,A50,1,egypt,9.742974,2.6625502,-9.201443538387736,-7.119031685603126
egypt_by_oracle\帝\帝_NA_01.png,帝,NA,1,egypt,10.317888,2.102811,-10.319380536275295,-5.470082108276543
egypt_by_oracle\帝\帝_NA_02.png,帝,NA,2,egypt,10.04739,2.6224296,-10.370754482738779,-7.631190753131017
egypt_by_oracle\帝\R8A40\帝_R8A40_01.png,帝,R8A40,1,egypt,9.981002,2.8732653,-11.075988509507688,-7.964208257590221
egypt_by_oracle\帝\R8A40\帝_R8A40_02.png,帝,R8A40,2,egypt,10.043793,2.94363,-11.373993105489765,-8.59414911313868
egypt_by_oracle\帝\S36\帝_S36_01.png,帝,S36,1,egypt,12.1809635,-0.77123064,3.100923634611465,3.1137544676802493
egypt_by_oracle\日\日_NA_01.png,日,NA,1,egypt,9.086952,-2.4005947,2.3798217088251854,-4.427531362093948
egypt_by_oracle\日\N5\日_N5_000.png,日,N5,0,egypt,8.555465,-2.7035887,-2.513219932890051,9.749080403499773
egypt_by_oracle\日\N5\日_N5_001.png,日,N5,1,egypt,8.961473,-2.5129046,-1.8844282585398093,8.253069344595612
egypt_by_oracle\日\N5\日_N5_002.png,日,N5,2,egypt,8.6576395,-2.356254,-2.6905405492561973,8.348692130129788
egypt_by_oracle\日\N5\日_N5_003.png,日,N5,3,egypt,8.678234,-2.6064568,-2.7409496486028413,9.086267796149645
egypt_by_oracle\日\N5\日_N5_004.png,日,N5,4,egypt,8.760786,-2.4352121,-2.0713554413888056,8.545272186462572
egypt_by_oracle\日\N5\日_N5_0045.png,日,N5,45,egypt,8.405733,-2.4816568,-3.371508760544282,9.489755027713498
egypt_by_oracle\日\N5\日_N5_0049.png,日,N5,49,egypt,9.061,-2.2323577,-1.580470606953198,6.814453390499086
egypt_by_oracle\日\N5\日_N5_0056.png,日,N5,56,egypt,9.226241,-2.3383968,-1.6400254704684907,6.32806148446009
egypt_by_oracle\星\N14\星_N14_000.png,星,N14,0,egypt,10.964972,-0.6509529,-1.739769221443375,-2.3348446384112695
egypt_by_oracle\星\N14\星_N14_001.png,星,N14,1,egypt,10.509294,-0.49610096,-3.056294728856333,-2.0657209575074504
egypt_by_oracle\星\N14\星_N14_002.png,星,N14,2,egypt,11.287239,0.05211454,5.922104099037998,2.894998162483759
egypt_by_oracle\星\N14\星_N14_003.png,星,N14,3,egypt,10.201854,-0.35925645,-3.929142446749801,-1.3411814383543204
egypt_by_oracle\星\N14\星_N14_004.png,星,N14,4,egypt,8.698725,-2.7626734,-1.006931404680741,10.472226026940252
egypt_by_oracle\星\N14\星_N14_0086.png,星,N14,86,egypt,8.726654,-2.7795289,-1.0069481622036802,10.472251894682051
egypt_by_oracle\星\N14\星_N14_0111.png,星,N14,111,egypt,11.062365,-1.4109832,0.8346153690266238,2.3907213967324403
egypt_by_oracle\星\N14\星_N14_0114.png,星,N14,114,egypt,10.991312,-0.57717085,-1.739775258796186,-2.334786280932708
egypt_by_oracle\星\N14\星_N14_0115.png,星,N14,115,egypt,10.567381,-0.5244437,-3.0562947288669395,-2.065720957311057
egypt_by_oracle\星\N14\星_N14_0122.png,星,N14,122,egypt,11.239216,0.15136115,5.922142793578813,2.895013571152847
egypt_by_oracle\星\N14\星_N14_0132.png,星,N14,132,egypt,11.19633,-0.071511544,5.016475848326598,3.172518763992864
egypt_by_oracle\星\N14\星_N14_0133.png,星,N14,133,egypt,11.222106,-0.16057356,4.746797277459055,3.221551058614207
egypt_by_oracle\月\N9\月_N9_01.png,月,N9,1,egypt,10.679194,-1.6710594,-0.1594753421790959,4.623670486313761
egypt_by_oracle\示\R4\示_R4_000.png,示,R4,0,egypt,8.481138,-0.27885664,-10.686482449397337,1.3766338379101766
egypt_by_oracle\示\R4\示_R4_001.png,示,R4,1,egypt,11.238993,-5.0927515,-12.073872772518337,4.624758809801069
egypt_by_oracle\示\R4\示_R4_002.png,示,R4,2,egypt,11.407784,-5.3275895,-12.16195174228711,3.101313146184422
egypt_by_oracle\示\R4\示_R4_0088.png,示,R4,88,egypt,11.486488,-5.3930497,-12.160380279530047,3.101122001314908
egypt_by_oracle\示\R4\示_R4_0151.png,示,R4,151,egypt,8.380303,-0.1827614,-10.710580202943135,1.3616976788378794
egypt_by_oracle\示\R4\示_R4_0159.png,示,R4,159,egypt,11.401141,-5.292244,-12.073716641854519,4.6251341467776985
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_01.png,祀,N14+D46 V4 A30,1,egypt,10.201875,2.296936,-9.850696437904999,-10.613534772126666
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_02.png,祀,N14+D46 V4 A30,2,egypt,9.32993,-0.19910309,-6.829894158757115,0.8863050509042348
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_03.png,祀,N14+D46 V4 A30,3,egypt,9.248957,2.745465,-7.349160657304153,-9.36625984073398
egypt_by_oracle\祀\N14+D46 V4 A30\祀_N14+D46 V4 A30_04.png,祀,N14+D46 V4 A30,4,egypt,11.349031,-0.5690018,-0.7824273881642237,-3.8159722548500308
egypt_by_oracle\祖\D28\祖_D28_000.png,祖,D28,0,egypt,10.419348,-0.5161655,-5.306947199080915,-1.8871369832301201
egypt_by_oracle\祖\D28\祖_D28_001.png,祖,D28,1,egypt,10.132852,-1.4416393,-3.5235059683222962,3.052589784241684
egypt_by_oracle\祖\D28\祖_D28_002.png,祖,D28,2,egypt,10.272936,-1.5933672,-2.720394605653326,2.858400388671838
egypt_by_oracle\祖\D28\祖_D28_003.png,祖,D28,3,egypt,11.134743,-2.3436828,-1.4592616312680016,1.8427030940995088
egypt_by_oracle\祖\D28\祖_D28_004.png,祖,D28,4,egypt,9.225095,-0.39098537,-5.481439104019834,2.2284978820938477
egypt_by_oracle\祖\D28\祖_D28_0067.png,祖,D28,67,egypt,9.169856,-0.3692481,-5.481722102066048,2.226841774358767
egypt_by_oracle\祖\D28\祖_D28_0074.png,祖,D28,74,egypt,9.23304,-0.32866192,-6.3690667555234235,2.0293084181490055
egypt_by_oracle\祖\D28\祖_D28_0080.png,祖,D28,80,egypt,8.849705,-0.36632186,-5.149016877334079,3.471571868754433
egypt_by_oracle\祖\D28\祖_D28_0083.png,祖,D28,83,egypt,9.827373,-1.3162954,-4.328028110440791,3.0956402614492347
egypt_by_oracle\祖\D28\祖_D28_0096.png,祖,D28,96,egypt,11.327864,-4.589206,-10.996241655350337,5.724513555858869
egypt_by_oracle\祖\D28\祖_D28_0098.png,祖,D28,98,egypt,11.084018,-4.85984,-10.862573207095258,4.75055335757948
egypt_by_oracle\祖\D28\祖_D28_0100.png,祖,D28,100,egypt,10.289689,-1.0409713,-1.6852757326172585,3.9919648448387153
egypt_by_oracle\祝\D31\祝_D31_01.png,祝,D31,1,egypt,11.125697,-1.7724973,0.34550961288722076,3.900300494748375
egypt_by_oracle\祝\T8\祝_T8_01.png,祝,T8,1,egypt,12.368601,-0.9324108,2.99656205703191,1.1913039086566595
egypt_by_oracle\祭\祭_NA_01.png,祭,NA,1,egypt,11.721902,-0.81962496,-0.19425234302832342,-4.195410247844979
egypt_by_oracle\祭\D44\祭_D44_01.png,祭,D44,1,egypt,11.361221,-4.764749,-12.33346941548072,6.502784987822061
egypt_by_oracle\鬼\D28\鬼_D28_000.png,鬼,D28,0,egypt,10.391122,-0.5108487,-5.306947199080916,-1.8871369832301197
egypt_by_oracle\鬼\D28\鬼_D28_001.png,鬼,D28,1,egypt,10.17179,-1.3941633,-3.5234404938059405,3.0517765850923864
egypt_by_oracle\鬼\D28\鬼_D28_002.png,鬼,D28,2,egypt,10.241915,-1.6474446,-2.7202911747047493,2.8568363268054746
egypt_by_oracle\鬼\D28\鬼_D28_003.png,鬼,D28,3,egypt,11.11815,-2.4351487,-1.4591228671070995,1.842742277903572
egypt_by_oracle\鬼\D28\鬼_D28_004.png,鬼,D28,4,egypt,9.242808,-0.3414899,-5.639310486830593,2.547536882181034
egypt_by_oracle\鬼\D28\鬼_D28_0068.png,鬼,D28,68,egypt,9.244142,-0.48989382,-5.6422851600264785,2.5499343497231295
egypt_by_oracle\鬼\D28\鬼_D28_0075.png,鬼,D28,75,egypt,9.285707,-0.29520708,-6.367192547864693,2.026697925460239
egypt_by_oracle\鬼\G1\鬼_G1_000.png,鬼,G1,0,egypt,8.557267,2.285395,-4.0249587365464405,-7.219734149726401
egypt_by_oracle\鬼\G1\鬼_G1_001.png,鬼,G1,1,egypt,8.409482,2.1716952,-3.8654221684174828,-6.4108475175526145
egypt_by_oracle\鬼\G1\鬼_G1_0013.png,鬼,G1,13,egypt,8.895901,1.8859152,-5.491509402591747,-5.921742445757918
egypt_by_oracle\鬼\G1\鬼_G1_002.png,鬼,G1,2,egypt,9.528241,1.7744298,-6.009697387796802,-4.768091395658251
egypt_by_oracle\鬼\G1\鬼_G1_0021.png,鬼,G1,21,egypt,8.803225,2.1266694,-5.322273094776336,-6.8587850624179865
egypt_by_oracle\鬼\G1\鬼_G1_0022.png,鬼,G1,22,egypt,8.442113,2.032665,-3.9679898613533946,-5.7225014124266895
egypt_by_oracle\鬼\G1\鬼_G1_003.png,鬼,G1,3,egypt,8.652684,1.9252707,-4.873363229251517,-6.199270926251985
egypt_by_oracle\鬼\G1\鬼_G1_004.png,鬼,G1,4,egypt,8.533534,2.1180391,-4.524335466774395,-7.118960408649815
egypt_by_oracle\鬼\G25\鬼_G25_000.png,鬼,G25,0,egypt,8.503253,2.3906753,-3.3993374066760595,-7.064294376328943
egypt_by_oracle\鬼\G25\鬼_G25_001.png,鬼,G25,1,egypt,9.014536,2.651065,-6.38119676503173,-8.140044007403125
egypt_by_oracle\鬼\G25\鬼_G25_002.png,鬼,G25,2,egypt,9.37729,2.1339252,-7.445205179516106,-6.8594808757287815
egypt_by_oracle\鬼\G25\鬼_G25_003.png,鬼,G25,3,egypt,8.640384,2.7717135,-4.647294089105029,-8.536744330025336
egypt_by_oracle\鬼\G25\鬼_G25_004.png,鬼,G25,4,egypt,8.514895,1.9102675,-3.225308741091408,-5.992058370928353
egypt_by_oracle\鬼\G25\鬼_G25_01.png,鬼,G25,1,egypt,9.1870165,2.8963616,-7.240848826355383,-10.27617704018131
egypt_by_oracle\鬼\G25\鬼_G25_02.png,鬼,G25,2,egypt,9.21571,2.8125207,-6.956924629404136,-9.816806789747842
egypt_by_oracle\鬼\G25\鬼_G25_03.png,鬼,G25,3,egypt,10.144192,2.293017,-9.179037849641503,-10.646636968517967
egypt_by_oracle\鬼\G29\鬼_G29_000.png,鬼,G29,0,egypt,8.533755,2.7037919,-3.956640263909698,-8.84606934305218
egypt_by_oracle\鬼\G29\鬼_G29_001.png,鬼,G29,1,egypt,9.343072,2.187156,-7.2665573759301125,-6.222770579037148
egypt_by_oracle\鬼\G29\鬼_G29_002.png,鬼,G29,2,egypt,8.663178,2.8903296,-4.988861710560858,-9.314572530007627
egypt_by_oracle\鬼\G29\鬼_G29_0071.png,鬼,G29,71,egypt,8.53702,2.668729,-3.956638941694233,-8.846069446904437
egypt_by_oracle\鬼\G29\鬼_G29_0079.png,鬼,G29,79,egypt,9.343646,2.2033777,-7.2665573759301125,-6.222770579037148
egypt_by_oracle\鬼\G29\鬼_G29_01.png,鬼,G29,1,egypt,9.051496,2.9713068,-6.267572046196773,-9.686002884047998
egypt_by_oracle\鬼\G29\鬼_G29_0131.png,鬼,G29,131,egypt,8.72672,2.9399529,-4.9886152921317,-9.317268535585333
